folder_a,folder_b,case_id,support_size,kl_ab,kl_ba,sym_kl,js_divergence,js_similarity
deepseek_flash_2,deepseek_pro_1,5,10,10.691134,10.701399,10.696266,0.416271,0.583729
deepseek_flash_2,deepseek_pro_1,6,2,0.152003,2.52074,1.336371,0.051899,0.948101
deepseek_flash_2,deepseek_pro_1,7,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_2,deepseek_pro_1,8,5,11.705659,19.853775,15.779717,0.586767,0.413233
deepseek_flash_2,deepseek_pro_1,9,4,2.989572,8.199094,5.594333,0.21034,0.78966
deepseek_flash_2,deepseek_pro_1,10,8,10.496734,8.128302,9.312518,0.352777,0.647223
deepseek_flash_2,deepseek_pro_1,11,6,3.184009,10.279192,6.731601,0.271787,0.728213
deepseek_flash_2,deepseek_pro_1,12,6,8.312426,13.844999,11.078713,0.412079,0.587921
deepseek_flash_2,deepseek_pro_1,13,4,0.355675,5.28165,2.818662,0.115033,0.884967
deepseek_flash_2,deepseek_pro_1,14,13,27.575424,27.175424,27.375424,1.0,0.0
deepseek_flash_2,deepseek_pro_1,15,6,8.572627,13.887712,11.23017,0.424511,0.575489
deepseek_flash_2,deepseek_pro_1,16,6,3.013217,7.739192,5.376205,0.215033,0.784967
deepseek_flash_2,deepseek_pro_1,17,4,5.179145,2.810475,3.99481,0.152123,0.847877
deepseek_flash_2,deepseek_pro_1,18,2,2.52074,0.152003,1.336371,0.051899,0.948101
deepseek_flash_2,deepseek_pro_1,19,3,1.150977,3.199046,2.175012,0.241937,0.758063
deepseek_flash_2,deepseek_pro_2,0,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_2,deepseek_pro_2,1,2,0.152003,2.52074,1.336371,0.051899,0.948101
deepseek_flash_2,deepseek_pro_2,2,5,7.948116,0.93203,4.440073,0.259568,0.740432
deepseek_flash_2,deepseek_pro_2,3,5,2.816039,2.799046,2.807542,0.136944,0.863056
deepseek_flash_2,deepseek_pro_2,4,2,0.13203,0.150977,0.141504,0.034852,0.965148
deepseek_flash_2,deepseek_pro_2,5,10,11.291134,19.138412,15.214773,0.597908,0.402092
deepseek_flash_2,deepseek_pro_2,6,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_2,deepseek_pro_2,7,1,0.0,0.0,0.0,0.0,1.0
deepseek_flash_2,deepseek_pro_2,8,7,1.075489,13.029216,7.052352,0.324511,0.675489
deepseek_flash_2,deepseek_pro_2,9,5,0.33203,5.066062,2.699046,0.11034,0.88966
deepseek_flash_2,deepseek_pro_2,10,6,7.723605,2.989572,5.356589,0.21034,0.78966
deepseek_flash_2,deepseek_pro_2,11,4,2.983856,7.918828,5.451342,0.20904,0.79096
deepseek_flash_2,deepseek_pro_2,12,8,8.128302,10.496734,9.312518,0.352777,0.647223
deepseek_flash_2,deepseek_pro_2,13,5,8.037776,5.469201,6.753488,0.252406,0.747594
deepseek_flash_2,deepseek_pro_2,14,13,16.945255,24.117882,20.531568,0.819518,0.180482
deepseek_flash_2,deepseek_pro_2,15,7,3.436453,8.04111,5.738781,0.3,0.7
deepseek_flash_2,deepseek_pro_2,16,5,8.172627,8.172627,8.172627,0.3,0.7
deepseek_flash_2,deepseek_pro_2,17,3,5.057543,0.321928,2.689735,0.108032,0.891968
deepseek_flash_2,deepseek_pro_2,18,3,2.810475,5.379145,4.09481,0.152123,0.847877
deepseek_flash_2,deepseek_pro_2,19,3,0.628036,2.905698,1.766867,0.155376,0.844624
deepseek_pro_1,deepseek_pro_2,0,1,0.0,0.0,0.0,0.0,1.0
deepseek_pro_1,deepseek_pro_2,1,2,0.152003,2.52074,1.336371,0.051899,0.948101
deepseek_pro_1,deepseek_pro_2,2,3,2.810475,5.379145,4.09481,0.152123,0.847877
deepseek_pro_1,deepseek_pro_2,3,7,8.275095,3.668646,5.97187,0.35517,0.64483
deepseek_pro_1,deepseek_pro_2,4,2,0.0,0.0,0.0,0.0,1.0
deepseek_pro_1,deepseek_pro_2,5,9,8.572627,16.445255,12.508941,0.486767,0.513233
deepseek_pro_1,deepseek_pro_2,6,2,2.52074,0.152003,1.336371,0.051899,0.948101
deepseek_pro_1,deepseek_pro_2,7,1,0.0,0.0,0.0,0.0,1.0
deepseek_pro_1,deepseek_pro_2,8,7,0.950977,10.313177,5.632077,0.275489,0.724511
deepseek_pro_1,deepseek_pro_2,9,5,0.475489,5.156589,2.816039,0.137744,0.862256
deepseek_pro_1,deepseek_pro_2,10,6,7.837776,5.469201,6.653488,0.252406,0.747594
deepseek_pro_1,deepseek_pro_2,11,5,5.08165,0.355675,2.718662,0.115033,0.884967
deepseek_pro_1,deepseek_pro_2,12,6,3.326025,7.930448,5.628237,0.272801,0.727199
deepseek_pro_1,deepseek_pro_2,13,5,5.266062,2.889572,4.077817,0.172596,0.827404
deepseek_pro_1,deepseek_pro_2,14,13,19.202797,21.56034,20.381568,0.762255,0.237745
deepseek_pro_1,deepseek_pro_2,15,7,3.436453,8.04111,5.738781,0.3,0.7
deepseek_pro_1,deepseek_pro_2,16,7,10.496734,8.328302,9.412518,0.352777,0.647223
deepseek_pro_1,deepseek_pro_2,17,2,2.52074,0.152003,1.336371,0.051899,0.948101
deepseek_pro_1,deepseek_pro_2,18,2,0.321928,5.257542,2.789735,0.108032,0.891968
deepseek_pro_1,deepseek_pro_2,19,3,0.054116,0.065148,0.059632,0.014662,0.985338
