comparison,mean_case_level_similarity,std,min,max,n_cases,mean_embedding_gap
flash_vs_pro,0.9778654376665751,0.0076323265940095,0.9667049646377563,0.9885827302932739,9,0.022134562333424923
flash_vs_qwen,0.9499809145927429,0.016172822654836695,0.9154789447784424,0.967126190662384,9,0.05001908540725708
pro_vs_qwen,0.9372460709677802,0.02554203152326363,0.8879538178443909,0.9663956165313721,9,0.06275392903221977
average_pairwise_similarity,0.9550308077423659,0.014082343877842561,0.9257496992746989,0.9650522867838541,9,0.04496919225763407
